BTC_62100_ENTRY - FULL FRAME ANALYSIS
========================================================================================================================
Frame                  Luma   Size     RightW   BotR   BotG   BotC   BotY   MidT   MidG   MidP   MidB  
day2_62100_0028.jpg    21.0   39284    4633     1013   104    412    448    1197   98     15     146   
day2_62100_0029.jpg    21.4   40915    4653     1007   104    420    448    1194   98     14     146   
day2_62100_0030.jpg    21.4   41126    4653     989    104    444    448    1184   98     14     146   
day2_62100_0031.jpg    21.7   41650    4644     950    117    410    438    1213   96     35     194   
day2_62100_0032.jpg    21.8   41921    4639     979    117    418    438    1190   96     52     217   
day2_62100_0033.jpg    21.8   42185    4628     984    116    414    437    1196   96     51     192   
day2_62100_0034.jpg    21.5   41555    4644     984    116    414    437    1094   88     40     153   
day2_62100_0035.jpg    21.5   41551    4649     991    116    414    437    1131   88     39     156   
day2_62100_0036.jpg    21.5   41670    4641     984    116    414    437    1131   88     42     156   
day2_62100_0037.jpg    22.0   42488    4634     983    116    414    437    1183   89     45     198   
day2_62100_0038.jpg    21.8   42404    4633     961    116    414    437    1171   89     35     191   
day2_62100_0039.jpg    21.5   41572    4633     949    114    388    438    1168   89     35     157   
day2_62100_0040.jpg    21.5   41958    4634     943    119    308    438    1155   89     35     151   
day2_62100_0041.jpg    21.9   41771    4633     919    119    357    438    1176   89     35     163   
day2_62100_0042.jpg    21.9   41989    4638     919    119    357    438    1184   89     35     205   
day2_62100_0043.jpg    21.9   42039    4646     919    119    357    438    1179   89     35     211   
day2_62100_0044.jpg    21.5   41292    4645     955    119    406    438    1139   89     35     151   
day2_62100_0045.jpg    21.5   41658    4625     948    108    365    438    1143   89     35     151   
day2_62100_0046.jpg    22.0   42367    4633     979    111    365    438    1162   89     36     195   
day2_62100_0047.jpg    21.5   41215    4631     972    114    380    438    1169   89     35     151   
day2_62100_0048.jpg    21.4   41364    4647     1028   114    448    438    1142   89     18     151   
day2_62100_0049.jpg    21.4   41449    4652     998    116    516    438    1119   89     16     151   
day2_62100_0050.jpg    21.6   42080    4653     906    114    444    438    1634   89     21     151   
day2_62100_0051.jpg    21.1   39730    4611     854    112    441    404    1677   99     25     160   
day2_62100_0052.jpg    21.5   41566    4628     850    112    446    404    1677   99     25     159   
day2_62100_0053.jpg    21.6   41378    4637     876    112    446    404    1676   99     25     159   
day2_62100_0054.jpg    21.6   41680    4648     870    113    446    404    1676   99     25     159   
day2_62100_0055.jpg    21.6   41572    4641     826    113    436    404    1656   99     25     159   
day2_62100_0056.jpg    21.2   39870    4620     863    113    447    404    1687   103    25     159   
day2_62100_0057.jpg    22.2   38869    4619     862    116    447    406    5      94     26     1752  
day2_62100_0058.jpg    22.6   40653    4633     857    116    423    404    5      98     20     1670  
day2_62100_0059.jpg    22.6   40907    4648     869    116    431    404    5      92     21     1675  
day2_62100_0060.jpg    22.6   40713    4648     871    116    431    404    5      92     20     1664  
day2_62100_0061.jpg    22.8   41322    4663     885    116    495    429    4      104    10     1754  
day2_62100_0062.jpg    22.9   41440    4664     913    116    527    429    4      104    9      1657  
day2_62100_0063.jpg    22.9   41565    4681     913    116    527    429    4      104    10     1657  
day2_62100_0064.jpg    22.6   41218    4657     913    116    527    428    4      104    17     1736  
day2_62100_0065.jpg    22.2   39252    4642     913    116    527    428    4      104    18     1726  
day2_62100_0066.jpg    21.5   41708    4667     913    116    527    428    1641   86     30     141   
day2_62100_0067.jpg    21.6   42174    4657     913    116    527    428    1641   92     26     141   
day2_62100_0068.jpg    21.5   42200    4678     913    116    527    428    1624   92     26     141   
day2_62100_0069.jpg    21.9   42509    4673     913    116    527    428    1584   92     32     142   
day2_62100_0070.jpg    21.9   42526    4660     913    116    527    428    1536   92     28     141   
day2_62100_0071.jpg    21.9   42392    4669     913    116    527    428    1557   92     26     141   
day2_62100_0072.jpg    21.6   42087    4668     882    116    417    428    1566   92     26     141   
day2_62100_0073.jpg    21.9   42805    4678     908    116    545    428    1624   92     29     141   
day2_62100_0074.jpg    21.9   42432    4661     909    115    544    430    1603   92     26     141   
day2_62100_0075.jpg    21.9   42787    4681     915    115    544    430    1637   92     26     141   
