Frame                 Size      Luma    C_B     RedPx   Teal    Blue    Gold    BotR    BotC    WhtAnn  
day2_silver_0116.jpg  38872     23.0    21.8    99      69      3       0       25      4       79      
day2_silver_0117.jpg  38871     23.0    21.8    99      69      3       0       25      4       79      
day2_silver_0118.jpg  38986     21.5    20.3    99      72      3       0       24      4       78      
day2_silver_0119.jpg  38992     21.7    20.5    101     74      4       0       24      4       78      
day2_silver_0120.jpg  38980     21.7    20.5    100     74      4       0       24      4       78      
day2_silver_0121.jpg  38980     21.7    20.5    100     74      4       0       24      4       78      
day2_silver_0122.jpg  38962     21.7    20.5    100     74      4       0       24      4       79      
day2_silver_0123.jpg  38962     21.7    20.5    100     74      4       0       24      4       79      
day2_silver_0124.jpg  38980     21.7    20.5    100     74      4       0       24      4       79      
day2_silver_0125.jpg  38969     21.7    20.5    100     74      3       0       24      4       79      
day2_silver_0126.jpg  38972     21.7    20.5    100     74      3       0       25      4       79      
day2_silver_0127.jpg  38916     21.7    20.5    102     74      4       0       25      4       79      
day2_silver_0128.jpg  38964     21.7    20.5    102     74      4       0       25      4       79      
day2_silver_0129.jpg  38949     21.7    20.5    102     74      4       0       24      4       79      
day2_silver_0130.jpg  39081     21.7    20.6    92      76      5       0       19      5       81      
day2_silver_0131.jpg  39081     21.7    20.6    92      76      4       0       19      5       81      
day2_silver_0132.jpg  39081     21.7    20.6    92      76      4       0       19      5       81      
day2_silver_0133.jpg  39081     21.7    20.6    92      76      4       0       19      5       81      
day2_silver_0134.jpg  39073     21.7    20.6    93      76      4       0       20      5       81      
day2_silver_0135.jpg  39088     21.7    20.6    93      76      4       0       19      5       81      
day2_silver_0136.jpg  39073     21.7    20.6    93      76      3       0       19      5       81      
day2_silver_0137.jpg  39098     21.7    20.5    91      76      4       0       19      5       81      
day2_silver_0138.jpg  39079     21.7    20.5    91      76      4       0       19      5       81      
day2_silver_0139.jpg  39081     21.7    20.5    91      76      4       0       19      5       81      
day2_silver_0140.jpg  39094     21.6    20.4    90      70      7       0       16      4       78      
day2_silver_0141.jpg  39085     21.8    20.6    92      70      4       0       16      4       80      
day2_silver_0142.jpg  38884     21.3    20.1    91      70      4       0       17      4       78      
day2_silver_0143.jpg  39064     21.9    20.7    92      69      6       0       17      4       78      
day2_silver_0144.jpg  38834     21.5    20.3    83      69      6       0       17      4       78      
day2_silver_0145.jpg  39004     21.8    20.7    88      74      4       0       17      4       79      
day2_silver_0146.jpg  38732     21.3    20.2    92      64      3       0       11      3       79      
day2_silver_0147.jpg  38728     21.2    20.1    94      67      3       0       11      3       79      
day2_silver_0148.jpg  39204     21.5    20.4    94      66      2       0       11      3       82      
day2_silver_0149.jpg  39327     21.2    20.0    95      67      4       0       11      3       80      
day2_silver_0150.jpg  39105     21.6    20.4    89      67      4       0       11      3       80      
day2_silver_0151.jpg  39095     21.6    20.4    91      66      5       0       11      3       81      
day2_silver_0152.jpg  39605     22.5    21.3    97      65      5       0       11      3       78      
day2_silver_0153.jpg  39660     21.4    20.2    97      68      4       0       14      3       81      
day2_silver_0154.jpg  39663     21.4    20.2    96      68      3       0       13      3       81      
day2_silver_0155.jpg  39340     21.6    20.5    93      66      3       0       13      3       81      
day2_silver_0156.jpg  39810     22.4    21.2    98      65      5       0       13      3       81      
day2_silver_0157.jpg  39619     21.7    20.5    101     67      5       0       13      3       82      
day2_silver_0158.jpg  39467     21.5    20.4    97      66      4       0       13      3       81      
day2_silver_0159.jpg  38835     21.6    20.5    89      74      1       0       24      3       79      
day2_silver_0160.jpg  38750     21.7    20.5    108     66      2       0       17      4       81      
day2_silver_0161.jpg  38768     23.0    21.8    111     66      2       0       16      4       80      
day2_silver_0162.jpg  38921     21.5    20.3    97      70      2       0       11      4       78      
day2_silver_0163.jpg  37040     21.1    19.9    103     70      2       0       13      4       69      
day2_silver_0164.jpg  38778     21.3    20.2    100     71      0       0       14      4       78      
day2_silver_0165.jpg  38880     21.1    20.0    105     71      1       0       14      4       78      
day2_silver_0166.jpg  38814     21.0    19.8    105     71      1       0       14      4       79      
day2_silver_0167.jpg  38929     21.2    20.0    104     71      1       0       15      4       79      
day2_silver_0168.jpg  40019     22.7    21.4    78      69      1       0       15      4       78      
day2_silver_0169.jpg  40204     21.7    20.4    89      71      2       0       13      4       79      
day2_silver_0170.jpg  40065     22.9    21.7    104     72      3       0       17      2       82      
day2_silver_0171.jpg  40159     21.3    20.0    115     70      2       0       15      2       80      
day2_silver_0172.jpg  39979     22.5    21.3    94      71      3       0       14      2       81      
day2_silver_0173.jpg  38119     21.6    20.3    102     72      3       0       14      2       76      
day2_silver_0174.jpg  39892     21.6    20.2    103     72      2       0       16      2       71      
day2_silver_0175.jpg  40032     21.5    20.2    96      72      2       0       15      2       80      
day2_silver_0176.jpg  38113     21.6    20.3    102     72      2       0       15      2       71      
day2_silver_0177.jpg  39796     22.3    21.0    101     72      2       0       12      2       71      
day2_silver_0178.jpg  39780     21.8    20.5    105     71      0       0       13      2       80      
day2_silver_0179.jpg  38106     21.5    20.2    112     71      2       0       13      2       71      
day2_silver_0180.jpg  38130     21.6    20.3    114     71      1       0       13      2       71      
day2_silver_0181.jpg  37322     23.0    27.7    7       0       38      0       5       2       73      
day2_silver_0182.jpg  37354     22.4    27.0    6       0       37      0       5       2       79      
day2_silver_0183.jpg  37334     22.5    27.2    5       0       39      0       5       2       80      
day2_silver_0184.jpg  37352     23.3    28.0    5       0       38      0       5       2       79      
day2_silver_0185.jpg  37338     23.3    28.0    5       0       38      0       5       2       79      
day2_silver_0186.jpg  37585     22.4    27.1    5       0       38      0       5       2       80      
day2_silver_0187.jpg  37397     22.4    27.1    7       0       38      0       5       2       80      
day2_silver_0188.jpg  37329     22.4    27.1    7       0       39      0       5       2       80      
day2_silver_0189.jpg  37357     23.7    28.4    5       0       41      0       4       3       81      
day2_silver_0190.jpg  37099     23.7    28.4    6       0       39      0       4       3       81      
day2_silver_0191.jpg  37218     23.4    28.1    6       0       35      0       3       4       80      
day2_silver_0192.jpg  37028     22.9    27.5    5       0       36      0       3       4       80      
day2_silver_0193.jpg  37471     24.3    28.9    5       0       35      0       3       4       81      
day2_silver_0194.jpg  37300     23.1    27.7    6       0       34      0       3       4       79      
day2_silver_0195.jpg  37426     22.5    27.1    5       0       33      0       3       4       79      
day2_silver_0196.jpg  37608     23.2    27.8    5       0       33      0       3       4       80      
day2_silver_0197.jpg  38471     23.9    28.6    6       0       38      0       3       4       79      
day2_silver_0198.jpg  37108     22.4    27.0    6       0       38      0       4       4       79      
day2_silver_0199.jpg  35675     22.4    27.0    7       0       38      0       4       4       70      
day2_silver_0200.jpg  35684     22.4    27.0    7       0       38      0       5       4       70      
day2_silver_0201.jpg  40113     22.1    20.8    84      73      1       0       17      4       78      
day2_silver_0202.jpg  39653     21.6    20.3    82      74      2       0       17      4       81      
day2_silver_0203.jpg  40024     21.5    20.3    73      73      2       0       15      4       79      
day2_silver_0204.jpg  40246     21.7    20.3    83      74      2       0       14      4       78      
day2_silver_0205.jpg  39671     21.8    20.5    77      68      2       0       20      4       78      
day2_silver_0206.jpg  39829     21.9    20.5    90      74      3       0       25      4       78      
day2_silver_0207.jpg  39686     21.8    20.4    84      73      3       0       21      4       78      
day2_silver_0208.jpg  39975     21.6    20.3    83      73      2       0       21      4       79      
day2_silver_0209.jpg  39864     21.5    20.2    86      74      2       0       23      4       78      
day2_silver_0210.jpg  39797     22.5    21.1    81      68      1       0       22      4       78      
day2_silver_0211.jpg  39814     21.6    20.2    80      72      1       0       21      4       78      
day2_silver_0212.jpg  39809     21.6    20.2    80      72      1       0       22      4       78      
day2_silver_0213.jpg  39809     21.6    20.2    80      72      1       0       22      4       78      
day2_silver_0214.jpg  39797     21.5    20.2    80      72      2       0       22      4       78      
day2_silver_0215.jpg  39794     21.5    20.2    80      72      2       0       21      4       78      
day2_silver_0216.jpg  39812     21.6    20.2    79      72      2       0       21      4       78      
day2_silver_0217.jpg  39861     21.6    20.2    79      72      2       0       22      4       78      
day2_silver_0218.jpg  39861     21.6    20.2    79      72      2       0       22      4       78      
day2_silver_0219.jpg  39723     21.5    20.1    81      70      1       0       25      4       79      
day2_silver_0220.jpg  39722     21.5    20.1    81      70      1       0       25      4       79      
day2_silver_0221.jpg  39724     22.9    21.5    83      67      1       0       25      4       79      
day2_silver_0222.jpg  39773     22.9    21.5    86      69      1       0       25      4       79      
day2_silver_0223.jpg  39782     21.6    20.3    86      72      2       0       25      4       80      
day2_silver_0224.jpg  39784     21.6    20.3    86      72      2       0       25      4       80      
day2_silver_0225.jpg  39745     22.5    21.2    102     69      2       0       30      4       79      
day2_silver_0226.jpg  39718     21.7    20.4    97      71      1       0       30      4       80      
day2_silver_0227.jpg  39687     21.7    20.3    102     72      2       0       29      4       80      
day2_silver_0228.jpg  39707     21.7    20.3    102     72      2       0       25      4       80      
day2_silver_0229.jpg  39901     21.8    20.4    107     72      2       0       26      5       78      
day2_silver_0230.jpg  39888     21.8    20.4    107     72      2       0       27      5       78      
day2_silver_0231.jpg  39888     21.8    20.4    107     72      2       0       26      5       78      
day2_silver_0232.jpg  39888     21.8    20.4    107     72      2       0       26      5       78      
day2_silver_0233.jpg  39894     21.8    20.4    108     72      2       0       26      5       78      
day2_silver_0234.jpg  40080     22.1    20.7    101     72      2       0       26      5       78      
day2_silver_0235.jpg  39859     21.9    20.6    101     86      2       0       11      5       78      
day2_silver_0236.jpg  39710     23.2    21.9    96      80      1       0       11      5       78      
