Frame                 Size      Luma    C_B     RedPx   Teal    Blue    Gold    BotR    BotC    WhtAnn  
day2_near_0124.jpg    46019     24.8    24.3    25      19      8       3       5       4       74      
day2_near_0125.jpg    51874     25.6    25.2    32      19      6       5       9       4       74      
day2_near_0126.jpg    51533     25.9    25.4    67      22      6       5       11      4       74      
day2_near_0127.jpg    51886     26.5    26.0    48      28      10      7       13      4       74      
day2_near_0128.jpg    51950     26.4    25.9    63      44      10      7       8       4       74      
day2_near_0129.jpg    51340     26.9    26.5    52      44      10      7       6       4       75      
day2_near_0130.jpg    51294     26.6    26.2    62      43      10      7       7       4       74      
day2_near_0131.jpg    51458     27.9    27.4    62      43      10      7       7       4       74      
day2_near_0132.jpg    51314     26.1    25.7    63      42      10      8       8       6       74      
day2_near_0133.jpg    51165     27.8    27.3    61      41      10      8       8       6       74      
day2_near_0134.jpg    51219     26.5    26.0    64      42      10      8       8       6       74      
day2_near_0135.jpg    51692     27.1    26.6    61      40      8       3       10      6       74      
day2_near_0136.jpg    49836     27.4    27.0    58      31      11      2       20      6       74      
day2_near_0137.jpg    48334     26.4    26.1    58      31      11      2       20      6       74      
day2_near_0138.jpg    48355     26.5    26.1    58      31      11      2       20      6       74      
day2_near_0139.jpg    51517     29.5    29.3    107     37      8       4       8       6       75      
day2_near_0140.jpg    51424     27.5    26.9    57      52      12      3       9       6       75      
day2_near_0141.jpg    51396     27.4    26.8    65      51      12      3       9       6       74      
day2_near_0142.jpg    51212     28.0    27.4    67      71      8       6       6       1       74      
day2_near_0143.jpg    50722     29.7    28.9    45      84      8       6       6       7       74      
day2_near_0144.jpg    48499     27.9    27.2    46      89      8       6       6       7       74      
day2_near_0145.jpg    49582     27.8    27.2    47      60      5       6       8       2       74      
day2_near_0146.jpg    51172     27.0    26.5    49      75      6       6       5       5       74      
day2_near_0147.jpg    50721     26.8    26.3    52      76      6       6       5       5       74      
day2_near_0148.jpg    50788     26.9    26.4    49      75      6       6       5       5       75      
day2_near_0149.jpg    50945     26.8    26.3    50      75      5       6       5       5       75      
day2_near_0150.jpg    51139     26.8    26.3    50      75      5       6       7       5       75      
day2_near_0151.jpg    51103     26.7    26.1    51      75      5       6       7       5       75      
day2_near_0152.jpg    49496     26.7    26.2    52      76      5       8       5       4       75      
day2_near_0153.jpg    51082     26.7    26.1    52      76      5       8       5       4       75      
day2_near_0154.jpg    50995     26.8    26.3    50      74      5       8       7       4       75      
day2_near_0155.jpg    51087     26.7    26.1    54      74      5       8       5       4       75      
day2_near_0156.jpg    50986     26.7    26.1    55      74      5       8       5       5       74      
day2_near_0157.jpg    50986     26.7    26.1    55      74      5       8       5       5       74      
day2_near_0158.jpg    51045     27.0    26.4    55      74      5       8       5       5       73      
day2_near_0159.jpg    51777     27.4    26.9    55      74      5       7       5       5       74      
day2_near_0160.jpg    51477     27.7    27.1    57      75      5       7       6       5       72      
day2_near_0161.jpg    51322     28.4    27.8    53      75      6       9       4       8       71      
day2_near_0162.jpg    51347     27.4    26.8    57      73      6       9       6       8       71      
day2_near_0163.jpg    51098     27.1    26.5    52      76      6       9       5       8       71      
day2_near_0164.jpg    51093     28.1    27.6    51      75      6       9       5       8       71      
day2_near_0165.jpg    50996     26.9    26.3    59      75      6       9       5       8       71      
day2_near_0166.jpg    51395     27.0    26.4    56      76      6       9       7       8       70      
day2_near_0167.jpg    51214     27.3    26.7    59      76      6       9       5       8       72      
day2_near_0168.jpg    51453     27.3    26.8    54      76      6       9       5       8       73      
day2_near_0169.jpg    51378     26.8    26.3    61      75      6       9       6       8       73      
day2_near_0170.jpg    51670     27.0    26.4    61      75      6       9       5       8       74      
day2_near_0171.jpg    52294     28.3    28.3    45      72      9       7       1       8       73      
day2_near_0172.jpg    51138     27.0    26.4    51      73      9       8       1       8       73      
day2_near_0173.jpg    51321     27.0    26.4    53      73      10      8       2       8       73      
day2_near_0174.jpg    50542     27.1    26.5    54      72      9       8       1       8       74      
day2_near_0175.jpg    50527     27.0    26.4    51      72      9       8       1       8       74      
day2_near_0176.jpg    49420     26.7    26.2    58      72      7       6       1       8       72      
day2_near_0177.jpg    51419     28.1    27.6    56      71      5       3       1       8       72      
day2_near_0178.jpg    51564     27.9    27.3    68      52      5       3       4       5       72      
day2_near_0179.jpg    51798     27.9    27.3    60      72      5       3       3       8       72      
day2_near_0180.jpg    52373     27.2    26.6    59      74      5       3       3       8       72      
day2_near_0181.jpg    50488     28.4    27.8    46      62      5       3       8       5       72      
day2_near_0182.jpg    48927     27.6    27.0    46      64      5       3       9       5       72      
day2_near_0183.jpg    50698     28.3    27.6    72      92      5       5       4       10      72      
day2_near_0184.jpg    50823     27.3    26.7    77      72      5       5       2       9       72      
day2_near_0185.jpg    51548     27.9    27.3    76      73      6       5       3       9       72      
day2_near_0186.jpg    49556     27.4    26.7    72      79      6       5       4       9       72      
day2_near_0187.jpg    51064     27.4    26.8    58      74      6       5       6       9       73      
day2_near_0188.jpg    49049     27.9    27.3    46      54      6       5       10      4       72      
day2_near_0189.jpg    47495     27.9    27.3    54      55      6       5       10      4       72      
day2_near_0190.jpg    49482     31.1    29.4    160     102     12      4       10      4       72      
day2_near_0191.jpg    52172     31.9    30.3    176     145     6       4       3       4       72      
day2_near_0192.jpg    51882     33.1    31.4    160     150     11      4       22      6       72      
day2_near_0193.jpg    52078     32.5    30.9    158     153     12      4       22      6       72      
day2_near_0194.jpg    50232     32.6    30.9    162     153     12      4       22      6       72      
day2_near_0195.jpg    51361     33.8    32.2    89      150     12      4       24      6       72      
day2_near_0196.jpg    51525     33.0    31.4    161     160     12      4       24      6       72      
day2_near_0197.jpg    52505     33.3    31.7    163     158     12      4       23      6       73      
day2_near_0198.jpg    51298     32.9    31.3    162     158     12      4       23      6       73      
day2_near_0199.jpg    51295     32.9    31.3    162     158     13      4       23      6       73      
day2_near_0200.jpg    51320     32.9    31.3    162     158     13      4       23      6       73      
day2_near_0201.jpg    51178     32.9    31.2    182     154     13      3       26      5       76      
day2_near_0202.jpg    51146     32.9    31.2    180     154     13      3       26      5       76      
day2_near_0203.jpg    51077     32.9    31.2    181     154     13      3       26      5       76      
day2_near_0204.jpg    51099     32.9    31.2    181     154     13      3       26      5       76      
day2_near_0205.jpg    51137     32.9    31.2    181     155     13      3       26      5       77      
day2_near_0206.jpg    52699     33.4    31.7    186     149     13      3       26      5       75      
day2_near_0207.jpg    52692     33.3    31.6    177     151     11      3       26      5       77      
day2_near_0208.jpg    53166     33.2    31.5    182     151     12      3       26      5       77      
day2_near_0209.jpg    52842     33.2    31.5    190     150     14      3       26      5       77      
day2_near_0210.jpg    52544     33.3    31.6    188     155     10      3       24      5       77      
day2_near_0211.jpg    53467     33.0    31.3    187     155     11      3       25      5       78      
day2_near_0212.jpg    52793     33.1    31.4    187     151     10      3       25      5       76      
day2_near_0213.jpg    52743     33.1    31.4    187     151     10      3       25      5       76      
day2_near_0214.jpg    52822     33.1    31.4    186     151     11      3       25      5       76      
day2_near_0215.jpg    52602     33.7    32.0    113     151     11      3       25      5       76      
day2_near_0216.jpg    51278     33.0    31.3    183     153     11      3       25      5       76      
day2_near_0217.jpg    52706     34.2    32.6    178     153     11      3       25      5       76      
day2_near_0218.jpg    52861     33.1    31.5    179     151     10      3       26      5       76      
day2_near_0219.jpg    52598     33.4    31.7    180     151     10      3       27      5       75      
day2_near_0220.jpg    52575     33.8    32.2    181     154     10      3       28      5       76      
day2_near_0221.jpg    55174     33.0    31.5    161     226     9       3       6       4       74      
day2_near_0222.jpg    57114     31.5    30.2    122     140     9       3       9       11      74      
day2_near_0223.jpg    56994     32.5    31.1    132     232     9       3       3       13      74      
day2_near_0224.jpg    53204     32.6    31.0    148     117     9       3       11      3       74      
day2_near_0225.jpg    53333     32.6    31.0    149     117     10      3       11      3       74      
day2_near_0226.jpg    52806     31.7    30.2    191     117     10      3       11      3       73      
day2_near_0227.jpg    51119     30.6    29.2    93      110     4       4       11      3       74      
day2_near_0228.jpg    50371     30.8    29.8    69      108     4       3       7       4       73      
day2_near_0229.jpg    51097     31.3    30.3    80      115     6       7       10      3       72      
day2_near_0230.jpg    51604     30.5    29.6    80      112     7       2       9       3       72      
day2_near_0231.jpg    51786     31.4    31.2    83      106     7       2       7       4       78      
day2_near_0232.jpg    51064     31.4    31.3    81      109     7       2       7       4       77      
day2_near_0233.jpg    50670     31.7    31.6    76      112     6       7       7       4       76      
day2_near_0234.jpg    50446     30.8    30.6    79      112     11      6       7       4       77      
day2_near_0235.jpg    51341     31.0    30.8    78      106     11      6       7       4       77      
day2_near_0236.jpg    51239     30.8    30.7    73      113     11      6       7       4       75      
day2_near_0237.jpg    50874     29.9    30.1    74      113     11      6       7       4       78      
day2_near_0238.jpg    50700     30.3    30.5    74      114     11      6       7       4       76      
day2_near_0239.jpg    50935     31.1    31.3    74      114     11      6       7       4       76      
day2_near_0240.jpg    50908     31.1    31.3    74      115     11      6       7       4       75      
