Frame                 Luma    Size      C_B     RedPx   Teal    Blue    Gold    Purple  BotR    BotC    WhtAnn  
day3_63700_0134.jpg   25.7    44169     24.8    39      170     4       1       1       7       11      73      
day3_63700_0135.jpg   25.3    45930     24.4    41      169     3       1       1       7       11      74      
day3_63700_0136.jpg   22.8    41833     21.9    39      58      3       1       1       7       11      73      
day3_63700_0137.jpg   22.1    41469     21.1    55      49      2       1       0       11      10      73      
day3_63700_0138.jpg   23.4    41396     22.4    68      66      2       1       1       5       11      72      
day3_63700_0139.jpg   24.8    43903     23.9    70      196     2       1       1       5       11      72      
day3_63700_0140.jpg   22.8    39578     21.8    68      65      2       1       1       5       11      72      
day3_63700_0141.jpg   22.7    39734     21.7    78      67      3       1       1       6       8       71      
day3_63700_0142.jpg   23.8    39489     22.8    71      81      3       0       1       6       11      74      
day3_63700_0143.jpg   26.1    43525     25.2    74      189     3       0       1       6       11      75      
day3_63700_0144.jpg   22.4    42626     21.5    59      51      3       0       1       14      7       75      
day3_63700_0145.jpg   22.3    41673     21.4    25      9       3       0       1       13      6       77      
day3_63700_0146.jpg   23.4    43916     22.6    31      128     3       0       1       13      6       74      
day3_63700_0147.jpg   23.9    45476     23.2    30      130     4       0       1       13      5       74      
day3_63700_0148.jpg   23.9    45487     23.2    30      130     4       0       1       13      5       75      
day3_63700_0149.jpg   24.0    45422     23.2    28      127     4       0       1       13      5       75      
day3_63700_0150.jpg   24.0    45439     23.2    28      127     4       0       1       13      5       75      
day3_63700_0151.jpg   23.9    45431     23.2    26      131     4       0       1       13      5       75      
day3_63700_0152.jpg   23.9    45460     23.2    29      132     4       0       1       13      5       75      
day3_63700_0153.jpg   23.9    45431     23.2    26      133     5       0       1       13      5       75      
day3_63700_0154.jpg   23.9    45390     23.2    26      133     5       0       1       13      5       74      
day3_63700_0155.jpg   23.7    45254     22.9    27      134     5       0       1       13      5       74      
day3_63700_0156.jpg   22.6    41903     21.8    24      7       4       0       1       13      5       76      
day3_63700_0157.jpg   24.0    42834     23.1    44      58      4       0       1       10      8       76      
day3_63700_0158.jpg   23.1    42831     22.2    45      59      4       0       1       10      8       74      
day3_63700_0159.jpg   22.2    42777     21.3    61      55      4       0       1       10      6       73      
day3_63700_0160.jpg   22.8    42925     22.0    62      56      4       0       1       9       8       74      
day3_63700_0161.jpg   22.8    42816     21.9    65      58      3       1       0       7       11      71      
day3_63700_0162.jpg   24.0    42706     23.0    64      57      3       1       0       7       11      71      
day3_63700_0163.jpg   24.0    42704     23.1    64      57      3       1       0       7       11      71      
day3_63700_0164.jpg   24.2    42663     23.2    64      57      3       1       0       7       11      71      
day3_63700_0165.jpg   25.0    44289     24.2    60      125     3       1       0       9       7       71      
day3_63700_0166.jpg   23.5    42780     22.5    76      60      3       1       0       8       6       71      
day3_63700_0167.jpg   22.5    42712     21.6    76      61      3       1       0       8       6       71      
day3_63700_0168.jpg   22.6    42634     21.7    44      59      3       1       0       8       10      71      
day3_63700_0169.jpg   22.6    42674     21.7    44      59      3       1       0       8       11      71      
day3_63700_0170.jpg   22.6    42718     21.7    44      59      3       1       0       8       11      71      
day3_63700_0171.jpg   22.5    42682     21.5    51      56      3       1       0       8       7       71      
day3_63700_0172.jpg   23.2    42578     22.3    53      57      3       1       0       8       7       71      
day3_63700_0173.jpg   23.2    42635     22.3    53      57      3       1       0       8       7       71      
day3_63700_0174.jpg   22.9    42168     21.9    49      61      3       1       0       7       8       76      
day3_63700_0175.jpg   22.6    40669     21.7    51      58      3       1       0       6       7       74      
day3_63700_0176.jpg   23.5    42600     22.6    58      55      3       1       0       5       8       72      
day3_63700_0177.jpg   25.2    44384     24.4    103     174     3       1       0       5       8       75      
day3_63700_0178.jpg   22.3    42500     21.4    65      58      3       1       0       5       8       75      
day3_63700_0179.jpg   22.3    42471     21.4    64      59      4       1       0       4       8       76      
day3_63700_0180.jpg   22.3    42490     21.4    64      59      4       1       0       4       8       76      
day3_63700_0181.jpg   22.6    42573     21.7    64      59      3       1       0       4       8       75      
day3_63700_0182.jpg   22.6    42568     21.7    64      59      3       1       0       4       8       75      
day3_63700_0183.jpg   22.4    42514     21.5    64      59      3       1       0       4       8       74      
day3_63700_0184.jpg   23.8    42641     22.9    64      58      3       1       0       4       8       74      
day3_63700_0185.jpg   23.1    42507     22.2    64      58      3       1       0       4       8       74      
day3_63700_0186.jpg   22.6    42367     21.7    63      58      3       1       0       4       8       74      
day3_63700_0187.jpg   22.5    42469     21.6    63      58      3       1       0       4       8       74      
day3_63700_0188.jpg   22.5    42486     21.6    64      58      3       1       0       4       8       74      
day3_63700_0189.jpg   22.5    42506     21.6    64      58      3       1       0       4       8       74      
day3_63700_0190.jpg   22.5    42519     21.6    80      50      4       1       0       5       6       72      
day3_63700_0191.jpg   22.5    42538     21.6    80      52      4       1       0       5       8       72      
day3_63700_0192.jpg   22.5    42549     21.6    80      52      4       1       0       5       8       72      
day3_63700_0193.jpg   22.5    42549     21.6    80      52      4       1       0       5       8       72      
day3_63700_0194.jpg   22.5    42550     21.6    80      52      4       1       0       5       8       72      
day3_63700_0195.jpg   22.5    42530     21.6    80      52      3       1       0       5       6       73      
day3_63700_0196.jpg   22.5    42544     21.6    79      52      4       1       0       5       7       72      
day3_63700_0197.jpg   22.5    42544     21.6    79      52      4       1       0       5       7       72      
day3_63700_0198.jpg   22.5    42557     21.6    79      52      4       1       0       5       7       72      
day3_63700_0199.jpg   22.5    42496     21.6    79      52      4       1       0       5       6       72      
day3_63700_0200.jpg   22.5    42605     21.6    78      55      3       1       0       3       9       72      
day3_63700_0201.jpg   22.5    42595     21.6    78      55      3       1       0       3       9       72      
day3_63700_0202.jpg   22.5    42593     21.6    78      55      3       1       0       3       9       72      
day3_63700_0203.jpg   22.5    42610     21.6    80      55      4       1       0       3       9       72      
day3_63700_0204.jpg   22.5    42597     21.6    79      55      3       1       0       3       8       74      
day3_63700_0205.jpg   22.5    42597     21.6    79      55      3       1       0       3       8       74      
day3_63700_0206.jpg   22.5    42605     21.6    79      54      3       1       0       3       9       73      
day3_63700_0207.jpg   22.5    42622     21.6    80      54      3       1       0       3       9       72      
day3_63700_0208.jpg   22.5    42615     21.6    78      54      3       1       0       3       9       72      
day3_63700_0209.jpg   22.5    42615     21.6    78      54      3       1       0       3       9       72      
day3_63700_0210.jpg   22.5    42598     21.6    77      54      2       1       0       4       8       73      
day3_63700_0211.jpg   22.5    42632     21.6    77      54      2       1       0       4       8       73      
day3_63700_0212.jpg   23.2    42600     22.3    77      54      2       1       0       4       8       74      
day3_63700_0213.jpg   23.7    42280     22.8    74      53      2       1       0       4       8       75      
day3_63700_0214.jpg   23.7    42354     22.8    74      53      2       1       0       4       8       75      
day3_63700_0215.jpg   22.7    42444     21.8    74      53      2       1       0       4       8       75      
day3_63700_0216.jpg   26.3    45353     25.5    106     172     2       1       0       4       8       75      
day3_63700_0217.jpg   22.4    42568     21.6    75      54      2       1       0       4       8       74      
day3_63700_0218.jpg   22.4    42570     21.6    75      54      2       1       0       4       8       74      
